brand,original_price,current_price
Lenovo IdeaPad 1 Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) IdeaPad 1 15IJL7 Th...,"₹1,04,990","₹43,900"
Lenovo LOQ Intel Core i5 12th Gen 12450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,"₹1,04,990","₹72,990"
MOTOROLA Motobook 60 Pro Full Metal OLED AI PC Intel Core Ultra 5 225H - (16 GB/512 GB SSD/Windows 11 ...,"₹83,990","₹59,990"
MOTOROLA Motobook 60 Pro Full Metal OLED AI PC Intel Core Ultra 5 225H - (16 GB/512 GB SSD/Windows 11 ...,"₹58,990","₹59,990"
ASUS TUF Gaming A15 (2025) AMD Ryzen 7 Hexa Core 7445HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graph...,"₹44,900","₹71,990"
MSI Modern 14 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C13M-1424IN ...,"₹3,89,990","₹44,990"
Acer Aspire 3 AMD Ryzen 3 Quad Core 7330U - (8 GB/512 GB SSD/Windows 11 Home) AS15 42 / A325 42 Thin a...,"₹1,76,990","₹44,479"
ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic* Intel Core i3 13th Gen - (16 GB/512 GB SSD/Wind...,"₹78,778","₹56,990"
ASUS ExpertBook Ultra Copilot+ PC Intel Core Ultra X7 358H - (64 GB/2 TB SSD/Windows 11 Home) B9406CAA...,"₹69,900","₹3,49,990"
ASUS ExpertBook P3 Intel Core Ultra 5 225H - (16 GB/512 GB SSD/Windows 11 Home) P3406CCAP-LY1005WS Lap...,"₹1,19,498","₹88,990"
HP OmniBook 5(Previously Pavilion) Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) 1...,"₹85,991","₹60,990"
HP MS Office 2024 Intel Core i5 13th Gen 1334U - (8 GB/512 GB SSD/Windows 11 Home) fd0466TU Thin and L...,"₹1,46,890","₹67,990"
